idx_num,filename,score,distance_error,final_coordinates_x,final_coordinates_y,final_coordinates_z,target_x,target_y,target_z,spacing_x,spacing_y,spacing_z
1,Bordeaux_Case105,33.50373311161334,7.565978204044869,267,315,168,278,304,179,0.333984375,0.333984375,0.5
2,Bordeaux_Case143,43.358655457092354,8.286495979906103,242,278,210,262,271,212,0.40625,0.40625,0.5
3,Bordeaux_Case149,74.96088560755393,4.507795998263774,282,269,217,279,278,212,0.380859375,0.380859375,0.5
4,Bordeaux_Case150,86.50235806309627,4.5,276,360,180,272,368,174,0.375,0.375,0.5
5,Bordeaux_Case159,55.809079011850066,2.3993486792195617,285,299,203,279,300,205,0.427734375,0.427734375,0.5
6,Bordeaux_Case16,48.97867258378859,3.2108050316729004,276,260,282,273,265,279,0.443359375,0.443359375,0.5
7,Bordeaux_Case172,56.23883369672771,6.107424061405485,309,268,358,296,257,353,0.34765625,0.34765625,0.29998779296875
8,Bordeaux_Case178,64.7597991665484,7.260168902465689,282,346,257,267,351,252,0.44140625,0.44140625,0.4000091552734375
9,Bordeaux_Case18,70.0038225703677,5.731857417583692,261,284,273,251,293,271,0.421875,0.421875,0.4000244140625
10,Bordeaux_Case192,26.758857150921045,7.473629175751271,285,281,349,277,291,333,0.447265625,0.447265625,0.300048828125
11,Bordeaux_Case196,48.93457498288048,4.573662034597182,338,260,344,335,248,351,0.333984375,0.333984375,0.29998779296875
12,Bordeaux_Case2,19.96423588354041,18.641538509678124,331,295,128,293,305,138,0.45703125,0.45703125,0.5
13,Bordeaux_Case205,34.668900962110285,7.298154498458659,298,282,303,280,289,306,0.375,0.375,0.29998779296875
14,Bordeaux_Case208,21.244753859567208,4.2363006604976485,292,290,457,281,288,457,0.37890625,0.37890625,0.2999267578125
15,Bordeaux_Case211,79.9143344837162,14.395006604672613,294,245,741,271,258,718,0.462890625,0.462890625,0.2999267578125
16,Bordeaux_Case25,75.23574845879415,3.595686489996396,256,305,240,260,301,247,0.451171875,0.451171875,0.40000152587890625
17,Bordeaux_Case34,65.66399095651876,2.490852404925872,254,287,208,249,285,209,0.453125,0.453125,0.5
18,Bordeaux_Case52,22.28337550773769,4.7669603821932895,232,267,252,223,271,257,0.412109375,0.412109375,0.5
19,Bordeaux_Case55,96.19405283977933,5.464552309173851,265,318,255,253,322,253,0.458984375,0.458984375,0.5
20,Bordeaux_Case56,54.96169227213933,5.256483075106863,305,257,273,297,252,277,0.486328125,0.486328125,0.40000152587890625
21,Bordeaux_Case6,54.78005118623012,5.3828125,262,291,223,251,296,223,0.4140625,0.4140625,0.5
22,Bordeaux_Case89,58.44806613284442,13.49555118866904,351,273,199,321,279,191,0.408203125,0.408203125,0.5
23,Bordeaux_Case92,62.28113085562431,5.461876260513071,308,275,278,319,267,270,0.2734375,0.2734375,0.5
24,Bordeaux_Case98,71.22133320863857,3.7719218051285086,319,294,221,311,291,225,0.419921875,0.419921875,0.5
25,denmark_A15,34.95657406953839,5.270542995102717,275,264,424,274,256,440,0.42899999022483826,0.42899999022483826,0.25
26,denmark_A17,77.32121589585437,8.726056882249923,316,282,449,301,296,441,0.42899999022483826,0.42899999022483826,0.25
27,denmark_A18,82.0581913782984,7.766372604604473,296,291,492,281,300,484,0.42899999022483826,0.42899999022483826,0.25
28,denmark_A9,3.1242013074426405,2.8149848426796997,244,279,378,245,285,375,0.42899999022483826,0.42899999022483826,0.25
29,denmark_W14,62.652806391023525,3.896348724043503,307,283,480,299,288,475,0.42899999022483826,0.42899999022483826,0.25
30,denmark_W6,70.00665146673917,5.976685679937956,302,291,453,300,279,442,0.42899999022483826,0.42899999022483826,0.25
31,Bordeaux_Case102,48.41220262779555,10.20023228997905,273,349,271,251,350,273,0.4609375,0.4609375,0.5
